1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,3,-2,3,5,-1,1,-2,6,2,-1,0,2,5,-2
1,2,3,1,1,1,2,2,3,3,3,2,3,2,1,2
2,4,5,3,4,5,4,5,1,5,4,1,1,4,1,4
1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
2,1,4,2,1,3,2,1,2,3,2,1,3,4,4,1
1,4,3,0,4,4,4,0,2,0,3,2,3,3,0,4
58,86,118,55,18,62,81,96,4,125,84,38,20,52,118,106
0.76799860954285,0.029658246040344,0.2387672662735,0.85354175567627,0.32853546142578,0.70032529830933,0.24010435342789,0.48550680875778,1,0.16421201229095,0.45398610830307,0.29764242172241,0.41145491600037,0.16450843811035,0.047521829605103,0.73868560791016
