0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1
3,2,3,2,2,2,3,3,3,3,2,3,2,2,3,2
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
2,3,1,1,2,3,1,1,1,1,1,2,3,1,3,3
5,5,3,4,1,4,4,2,2,3,5,4,5,5,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,4,3,3,4,4,3,4,4,3,3,4
0,2,2,2,0,4,1,2,3,2,2,2,3,1,2,1
56,108,66,5,34,78,84,15,20,80,21,121,6,69,97,60
0.70379422426224,0.20909299850464,0.75522918701172,0.12209393978119,0.18115739822388,0.33713960647583,0.23684152364731,0.57997941970825,1,0.19080286026001,0.89911798238754,0.43840373754501,0.039413666725159,0.11255729198456,0.51308107376099,0.97469699382782
