1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,2,2,3,2,3,3,2,2,3,2,2
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
2,1,2,1,1,2,3,2,2,1,1,2,1,3,3,2
5,4,1,2,2,4,2,1,3,3,4,5,4,4,5,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3
2,2,0,0,1,4,3,3,2,1,4,1,3,2,2,0
71,82,25,116,84,81,95,71,43,86,122,120,20,50,127,65
0.85164361000061,0.36717007160187,0.83117647171021,0.16755793094635,0.35986897945404,0.11379537582397,0.52575006484985,0.84273500442505,1,0.34202598333359,0.37917187213898,0.36854442358017,0.62039655447006,0.75011494159698,0.046016216278076,0.93879568576813
