1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0
2,2,2,2,2,2,2,2,3,3,3,3,2,3,2,2
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
2,1,1,1,2,1,1,3,3,2,1,2,2,2,3,2
5,5,3,1,1,1,4,2,5,4,2,5,5,2,5,3
1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2
3,4,3,3,3,3,4,3,4,4,4,3,4,4,3,3
4,4,1,3,0,0,2,4,2,2,2,3,1,2,3,0
71,120,25,23,52,67,34,124,96,31,34,3,37,110,70,60
0.89285957574844,0.094223070144653,0.15660421848297,0.6259593963623,0.87806587219238,0.65712385177612,0.44591484069824,0.2949554681778,1,0.10806584358215,0.36839032173157,0.13564190864563,0.77138519287109,0.16194567680359,0.54565846920013,0.52247941493988
