0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
2,3,2,3,3,3,2,2,2,2,2,3,3,2,3,2
0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2,1,3,2,1,2,1,2,1,2,1,3,1,2,2,3
1,4,4,1,3,3,4,3,5,1,3,3,2,5,3,4
1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1
3,3,3,4,3,3,4,4,4,4,3,4,3,4,4,3
3,3,3,4,1,1,4,1,0,0,2,2,1,2,4,3
87,69,35,122,62,13,80,60,122,50,43,81,28,100,115,95
0.88247195482254,0.095702028274536,0.28057978153229,0.29161682128906,0.67912330627441,0.58372163772583,0.20197269916534,0.51184997558594,1,0.12055747509003,0.3924612402916,0.31918663978577,0.76277899742126,0.22480568885803,0.31125640869141,0.80118381977081
