1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,2,2,2,2,2,3,3,2,3,3,3,2,2,3
0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
2,2,3,1,3,3,2,3,1,1,1,3,1,3,2,3
4,2,1,3,1,4,2,3,3,3,2,2,5,4,2,1
2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1
4,3,3,4,4,3,3,4,4,4,4,3,4,3,4,4
2,3,2,3,2,4,2,2,4,3,2,0,1,0,2,0
29,12,98,49,67,55,33,29,95,62,125,39,119,21,15,4
0.97165673971176,0.078091478347778,0.17717156410217,0.46205654144287,0.16837787628174,0.3206521987915,0.59605512619019,0.47889266014099,1,0.12666456699371,0.40536350011826,0.12521238327026,0.010182619094849,0.31350922584534,0.77422487735748,0.87877333164215
