0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0
3,3,3,3,3,2,2,3,3,2,2,3,2,3,2,2
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,1,3,2,1,2,2,3,3,2,1,1,2,1,1,1
1,1,3,4,1,1,2,4,1,2,2,3,2,2,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,4,3,3,4,3,4,3,4,3,4,3,4,4,4
0,3,0,3,0,3,0,0,0,0,1,0,3,0,0,0
9,58,30,108,32,87,86,81,117,121,78,44,1,115,68,10
0.72150339245796,0.48869132995605,0.34498586654663,0.64944498538971,0.63026123046875,0.82710084915161,0.19545698165894,0.54204807281494,0,0.60317523479462,0.06953558921814,0.24741806983948,0.36828035116196,0.282935094833374,1.4647837877274,1.406421661377
